search_terms,search_loc,title,location,company,salary,date,description,link
javascript developer,"Charlotte, NC",DEVELOPER,"Fort Mill, SC 29707",PCI Group Inc,None,1 day ago,"*New Opening* !!
This job can be performed Remotely
Summary: The Mid-Level .Net Developer will support the automated job control system that enables the company to process jobs with minimal manual interaction. The C# Software Developer will adapt our old code in VB.Net. Will work in all phases of development from design, development, implementation, deployment, and maintenance.


MAJOR ACTIVITIES


Working in: C#, VB.Net, ADO.Net, Win Forms, ASP.NET, MSSQL, TSQL, Stored Procedures, SSRS. This is a faced paced environment with lots of work to keep you busy. We are ideally looking for a C# Software Developer who can adapt to our old code in VB.Net. Contributes in all phases of development from design, development, implementation, deployment, and maintenance.

EMPLOYMENT STANDARDS

Education/Experience:

2-5 year’s experience VB.NET / C# / ASP.NET
or with a 4-year degree: 1 year

Knowledge and Skills:
2-5 years VB.NET / C# / ASP.NET (4-year Degree and lesser work experience may be substituted for experience)
Experience with .NET Framework
MS SQL server 2005-2012 (T-SQL)
Understanding n-tier software architectures

Preferred Additional Skills:

Web Services
Microsoft SQL Server (SSIS & SSRS)
Ajax, JavaScript, jQuery

Competencies
Time Management
Able to prioritize with competing priorities
Self-Motivated
Able to communicate easily and often thru remote avenues, phone, Teams, Zoom, Skype
""Get it done"" attitude
Puzzle solver, problem solver
Team oriented",http://www.indeed.com/rc/clk?jk=a7169b005d3405f7&fccid=f1533bf6a7bf21e0&vjs=3
javascript developer,"Charlotte, NC",Junior Web Designer & Front-End Developer,"Charlotte, NC 28210 (Beverly Woods area)",Fame Foundry,"$40,000 - $50,000 a year",30+ days ago,"Fame Foundry is seeking a web designer/front-end developer with a fundamental understanding of full-cycle web development to join our team. This is a telecommuting position with a salary range of $40-50k per year DOE.
Requirements:
Passion for great design, user experience and site usability
2-4+ years of demonstrated professional experience in all major UX disciplines – information architecture, user interface design and content strategy across a variety of environments – web applications, websites and mobile
2-4+ years of demonstrated professional experience in front-end development
Solid proficiency with Adobe Creative Suite
Expert knowledge of HTML5/DOM, CSS3, Javascript and responsive web frameworks
Demonstrated experience in a focus on iconography in UI
Demonstrated methodologies for prototyping
Qualified candidates must possess:
A portfolio that shows you’re equally adept at both conceptual and editorial-style writing and experienced in working for clients in a wide range of industries
Keen insight into human behavior: knowing what consumers find believable, interesting, attractive, provocative and compelling
Dedication to working in a collaborative environment to develop and deliver the best ideas
Ability to take any project from concept to completion while working within strict time and budgetary parameters
Agility, flexibility and keen attention to detail in order to manage and advance multiple projects simultaneously
Exceptional research, grammar and proofing skills",http://www.indeed.com/rc/clk?jk=ba2d7853616e3437&fccid=2f0adaee17e8b928&vjs=3
javascript developer,"Charlotte, NC",Typescript /JavaScript Developer,"Charlotte, NC",Claritus Inc,None,9 days ago,"Job Title: Typescript /JavaScript Developer
Location: Charlotte, NC
Duration: Fulltime
Required Skills:
3 years’ development experience in typescript.
Plan, develop and implement user interface strategy
Work with designers and developers to develop modern, intuitive user interfaces for our web properties
Work on design, look, and feel of our web properties
Continuously improve the user experience.
Build very lightweight, no framework application (ES5+)
Job Type: Full-time
Work Remotely:
Temporarily due to COVID-19",http://www.indeed.com/company/Claritus-Inc/jobs/Typescript-678d61c35bf86f53?fccid=37b6085b013b4100&vjs=3
javascript developer,"Charlotte, NC",Full Stack Developer,"Charlotte, NC",eTek IT Service | Savvysol,$45 - $64 an hour,9 days ago,"Description of the Project:
- Vendor Onboarding Project= its the main focus for his team, the need comes down from leadership, EVP expectations and CEO. they need to move fast which is key to his team
- His teams sole job here is to onboard vendors, maintain vendors through lifecycle, and then off board them when needed
- Vendors are the ones who supply products/items that are sold in the stores
- What does his team need be to successful? Pain Points or challenges?- need to hire these immediate needs. pain points are fake candidates
- He strongly prefers someone who can flip to FTE, but is open
Skills needed:
-javascript
-java
-microservices
-springboot
-agile experience
*Kafka and cloud are plusses.
Job Types: Full-time, Contract
Salary: $45.00 - $64.00 per hour
Experience:
Kafka and cloud: 2 years (Preferred)
software development: 6 years (Preferred)
Java: 5 years (Preferred)
microservices: 3 years (Preferred)
Application Question:
Are you ok with W2?
Work Remotely:
Temporarily due to COVID-19",http://www.indeed.com/rc/clk?cmp=eTek-IT-Service-%7C-Savvysol&ti=Full+Stack+Developer&jk=b79b0b39a52c4893&fccid=b799b629b7493305&vjs=3
javascript developer,"Charlotte, NC",JavaScript / Ruby on Rails Developer - Remote / Work from Ho...,United States,Tithe.ly,"$60,000 - $80,000 a year",Today,"### ABOUT THE JOB
Tithe.ly is currently looking to recruit a full-time full-stack programmer, who has more of a front end bias, to join a team focused on writing code to support our product ecosystem.
The successful candidate will find themselves working with Ruby on Rails, JavaScript and CSS, contributing heavily to our web-based software. The candidate will also have the chance to grow their skillset under a highly skilled team that can guide the candidate and unlock their full potential.
This position affords the opportunity to collaborate with other experienced engineers while also providing plenty of space for autonomy and coding. You will need to be able to think on your feet, be innovative and be independent when required.
This is an awesome opportunity to get involved with a growing company that practices continuous development and building something great! You will be joining a very friendly and social team, who are highly skilled technically, where you will be working with the latest technology.
100% remote opportunity, but must be based in the US or Canada.
The salary will depend on the level of experience.
### ABOUT YOU
We are looking for an experienced candidate that doesn't necessarily know all the answers but is motivated to learn, willing to grow, and is open to change.
Technology:
* 2+ years experience in Ruby/Rails
* Extensive experience in writing unit and integration tests
* Solid understanding of RESTful APIs
* Experience with using non-trivial APIs to read and save data
* Solid understanding of JavaScript (JQuery and VueJs preferable), CSS (Less and SCSS preferable), HTML
* Solid understanding of Git
* Experience with writing SQL queries and using MySQL/PostgreSQL
* Experience working with Docker
* Comfortable working in a Unix/Linux environment
* Ansible/Capistrano knowledge would be useful
Human / Relational:
* Great community both verbal and in written form
* Find joy in working out solutions to tricky problems
* Willingness to learn and expand upon existing skill sets
* A team player & able to work without supervision
* Quick learner & takes initiative
* Possess a high level of attention to detail
* Ability to effectively communicate technical information into simple terms
* Have a friendly, patient & positive nature
### APPLYING
Please send an application that speaks directly to this position. There are no right answers or cookie-cutter expectations. Show us your role in Tithe.ly’s future and Tithe.ly’s role in yours. Address some of the work we do. Introduce yourself as a colleague. Give it a deep think and take this at your speed. We’re giving you our full attention.
There’s no benefit to writing a novel. Keep it sharp, short, and get across what matters to you.
Next: We expect to take up to a week to review all applications. You'll hear from us about advancement to a written code review. We use an online platform that presents you a few code challenges for you to complete. We'll then do a quick 15-minute video call. If we feel you could be a good fit, then on to a full interview. Our interviews are one hour, all remote, with your future colleagues. We’ll talk through some of your code and some of ours. No gotchas, brainteasers, or whiteboard coding. We aim to make an offer when we feel we have found the right candidate.
Job Type: Full-time
Salary: $60,000.00 - $80,000.00 per year
Schedule:
Monday to Friday
Experience:
Ruby on Rails: 2 years (Required)
JavaScript: 2 years (Preferred)
Work Location:
Fully Remote
Company's website:
https://get.tithe.ly
Work Remotely:
Yes",http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B1j9VKoTmbEJmaWB7DxLcFrik2ktj_QtCgt1I5-dtiXE5nzkkMsztVkQs4gJi61OJ3p5Bbu65kuxDL8Wb5bXrEh_Q2oOI2tWgLahbMr0ZFQM70oviQiX8DGwyID1lBVhD4URIz3ON6-AJ7nQyewXtKJrAMUCjN3UxOPgXIw17JCTKfFKq0jsxOMg81d1vE6pZNYpghOGsG6bwNNZqhbwy1DP_bpW9yCIe1MS2VpVn9lL5Dt8YoNrpl_5lkdZdczJ0EUu6IaPxT5iSRDMmiCqxK8yiKRrU03EygMr2cG39pKwOzCIIm32rkBcWxClbuZ8dliSn-hBPINfGhDFXf6_GIAwIpxnG2hgUhBdBhjfc6SfveFipJ29oe86M1AKQTLqDYiecTGM35vyNKU6KqExjn6DRjTyF9TiWU4kXjN1JxIxd1iYQgrLLKyL8gRRUolyxnCL9vfh6fYW9An0qjb6-kYBj39u6Bdr2E7E6KJZD2YJBq2L8qyKyOMDpgSwLgpTA=&p=4&fvj=1&vjs=3
javascript developer,"Charlotte, NC",React JS Developer,"Charlotte, NC",Pernix,$65 - $70 an hour,3 days ago,"Proficient in React Native using Redux and other associated build tools such as Gradle, XCode, React Native CLI, NPX and Yarn, etc.
Solid understanding of functional programming in React using features like higher order components and hooks to build libraries of reusable components.
Proficient with RESTful APIs to connect to back-end services, with complex data structure in JSON format.
Good knowledge of the iOS and Android ecosystems including a firm understanding of Apple’s human interface design and Googles Material design guidelines with examples of real-world apps.
Experience with MapKit or Google maps API for iOS. Ability to visualize data using these tools is a plus.
Experience with location APIs, including using GPS to identify service location.
Experience with Notification APIs and backend systems such as Firebase.
Experience with using Camera and local Gallery, and storage of images on server or a cloud environment.
Experience with local persistence and syncing with remote resource.
Knowledge of memory management and multi-threading, asynchronized process, UI blocking, responsive error handling, etc to ensure optimal user experience.
Implementation of automated testing platforms and unit tests
Experience with code versioning tools such as Git or TFS.
Desired Skills and Experience:
Experience making React Native applications Accessible a plus.
Experience with Google ReCaptcha is a plus.
Graphic Design skills is a plus.
Job Type: Full-time
Pay: $65.00 - $70.00 per hour
Benefits:
Health Insurance
Schedule:
Monday to Friday
Experience:
software development: 5 years (Preferred)
React: 3 years (Preferred)
JavaScript: 5 years (Preferred)
Education:
High school or equivalent (Preferred)
Visa Sponsorship Potentially Available:
No: Not providing sponsorship for this job",http://www.indeed.com/company/Pernix/jobs/React-Js-Developer-1100fb1741eb53dc?fccid=9df0e2218cb9adfb&vjs=3
javascript developer,"Charlotte, NC",Lead Java Developer,"Charlotte, NC 28202 (Downtown Charlotte area)",Innovien Solutions,None,1 day ago,"Is your career as a consultant ready to be super-charged? At Innovien Solutions, we're in the business of placing technology consultants who out-work, out-think and over-deliver. If you're ready to work with the best clients in the industry, we're ready to match you with the top people in the business.
As an Innovien Solutions consultant, you'll help businesses solve the most pressing technology challenges of today. We're looking for consultants with capability and character... people with the drive, desire and determination to dream big, but do bigger. You'll like working with us because we'll go to bat for you, working tirelessly on your behalf. Best of all, we only work with the highest quality clients to ensure your experience is nothing short of top-notch.
One of our fastest growing partners in the Charlotte, NC area is looking for a hands-on Lead Java Developer to join their team! This position is currently 100% remote through the end of 2020, but candidates must be willing to relocate to Charlotte, NC early 2021 to be considered.
REQUIREMENTS:
10+ years of Java development experience within web-applications
4+ years of experience with Spring or similar framework
Lead experience (project and/or team)
Extensive experience developing in an Agile environment
Experience with Git and Jenkins
Experience with Application Servers
3+ years of experience with relational database
2+ years of experience with Hibernate (ORM) and Maven
Extensive experience working in a Linux environment
Experience with Spring MVC, Junit, JavaScript and/or jQuery
PREFERRED SKILLS:
Insurance background
RESPONSIBILITIES:
The Lead Java Developer designs, develops, delivers and maintains existing SaaS platform.
Job Type: Full-time
Pay: $0.00 per hour
Benefits:
401(k)
Dental Insurance
Disability Insurance
Flexible Schedule
Health Insurance
Life Insurance
Vision Insurance
Schedule:
Monday to Friday
Experience:
Lead (project and/or team): 3 years (Required)
Java development: 10 years (Required)
Location:
Charlotte, NC 28202 (Required)
Work Location:
One location
Fully Remote
Benefit Conditions:
Waiting period may apply
Work Remotely:
Temporarily due to COVID-19",http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ACK45EV3maEdPYwW2NUOB-aPDI1Mrb7bN5YTUDvjUrPMwuJCpaGDIQkl9B2krzhxFZG54O5K9vPrZdDsjHj5oEV2TD3fvHCug1HRqHSPcSNp9RAMiyLKk00rk0ma0TGn6RSoyCQI6JCmcBK1SgHMiYFWtnJOgrhoPi_GUati1T1EkEEDZd5FlEy-o1iNCgXY2ar96V8-cX9MvUt5aAiK0v8KS3IPHgGzXQjmc8nBXS1le0bFL63Dw2ltjc1SbVCH6IzBQNCMzlE2r8M2tHLjMVBnjHUDDohaNx_t3Vzo6_iu7j8zbnFOLs9ry9wfLtyk9NDMgiVCBMjiBz8gxyyO6W6ZGlACaPUDo8pd_3m-zB1LnRLRsVN8zVKgef9a4tk_S64vScqjK2Ma7HSj1oMkFWlCK8KOgeK3WniZeClmySOSWOn6MwqnjGNdcCaV-0yKnW3sUX4pSY4OCXeCWaplsmNIDo0KU4aXL9CNMQQI01LQ==&p=6&fvj=1&vjs=3
javascript developer,"Charlotte, NC",iOS Developer,"Charlotte, NC",Bank of America,None,Today,"Position Summary
Software Developer with specialization in iOS development
Required Skills
iOS
SWIFT
Strong communication skills
Desired Skills
JIRA
Agile SDLC
Web development skills - HTML, Javascript

Shift:
1st shift (United States of America)
Hours Per Week:
40
Apply",http://www.indeed.com/rc/clk?jk=e06dcae7cbeed938&fccid=5bd99dfa21c8a490&vjs=3
javascript developer,"Charlotte, NC",Front End Solutions Developer,"Charlotte, NC 28244 (Downtown Charlotte area)",CapTech Consulting,None,1 day ago,"Company Description
CapTech is a team of master builders, creators, and problem solvers who help clients grow efficient, successful businesses. We unite diverse skills and perspectives to transform how data, systems, and ingenuity enable each client to advance what’s possible in a changing world.
As perceptive partners, our U.S-based consultants find inspiration in the unknown and enjoy getting our hands dirty solving our clients’ myriad of challenges. Across industries and business goals, we fuse technical depth and analytical prowess with creative savvy to move clients forward. This drive helps each organization use technology, management, and insight to turn ideas into action. Together, we create outcomes that exceed the expected — which is one of the reasons we’ve been on the Inc. 500/5000 list for over a decade.

Job Description
Front End Solutions Developers at CapTech are part of an intelligent, highly motivated community of developers who strive to continuously learn the latest tools and architectures to deliver innovative solutions for our clients. They are involved in the design, development and delivery of innovative web solutions in partnership with a variety of Fortune 500 clients. CapTech’s developers enjoy a highly collaborative environment and have many opportunities to learn from and share knowledge with other CapTech developers, architects, and our clients.
Specific responsibilities for the Front End Solutions Developer position include:
Understand the challenges being addressed by an engagement and collaborate with team members, clients, and stakeholders to deliver a technical solution that meet the unique needs of our clients.
Help our clients maximize the value of their web presence by building accessible, high-performance web applications using the latest web standards.
Create quality deliverables to communicate technical solutions to appropriate audiences.
Design, develop, unit test, and deploy web based solutions using common standards and frameworks.
Leverage CapTech’s internal programs and self-directed training to continually develop industry relevant knowledge and skills.
Provide technical mentoring and leadership to more junior resources.

Qualifications
Specific qualifications for the Front End Solutions Developer position include:
Bachelor's degree in Computer Science, Software Engineering, MIS or equivalent combination of education and experience
Demonstrated progression in standards-compliant web development (semantic HTML and CSS, unobtrusive JavaScript, etc.).
Understanding of performance testing and optimization techniques.
Ability to present technical ideas and high-level concepts and solutions to internal and external team members with varying degrees of technical knowledge.
Ability to create responsive website and understand device agnostic development techniques.
Experience with JavaScript libraries and frameworks (Angular, React, jQuery, EmberJS, Backbone).
Familiarity with CSS pre-processors (Less, SCSS/SASS, Compass).
Understanding of front end development best practices (accessibility, 508/WCAG compliance, performance optimization, SEO).
Experience in integrating UI technologies with Content Management Systems (Drupal, Sitecore, SharePoint, etc.).
High proficiency with development tools and workflows (modern source control systems, unit testing, continuous workflow, etc.).
Ability to convert Photoshop mockups to valid cross-browser web

Additional Information
We offer challenging and impactful jobs with professional career paths. All CapTechers can keep their hands-on technology no matter what position they hold. Our employees find their work exciting and rewarding in a culture filled with opportunities to have fun along the way.
At CapTech we offer a competitive and comprehensive benefits package including, but not limited to:
Competitive salary with performance-based bonus opportunities
Single and Family Health Insurance plans, including Dental coverage
Short-Term and Long-Term disability
Matching 401(k)
Competitive Paid Time Off
Training and Certification opportunities eligible for expense reimbursement
Team building and social activities
Mentor program to help you develop your career
CapTech is an equal opportunity employer committed to fostering a culture of equality, inclusion and fairness — each foundational to our core values. We strive to create a diverse environment where each employee is encouraged to bring their unique ideas, backgrounds and experiences to the workplace.
Candidates must be eligible to work in the U.S. for any employer directly (we are not open to contract or “corp to corp” agreements). At this time, CapTech cannot transfer nor sponsor a work visa for this position. Applicants must be authorized to work directly for any employer in the United States without visa sponsorship.

CapTech is a Drug-Free work place.
Candidates must have the ability to work at CapTech’s client locations.
All positions include the possibility of travel.
CapTech has not contracted/does not contract with any outside vendors in its recruitment process. If you are interested in this position, please apply to CapTech directly.
#LI-RK1",http://www.indeed.com/rc/clk?jk=e485bcd9e337a817&fccid=6ce11bcd7af32730&vjs=3
javascript developer,"Charlotte, NC",Front-End Web Developer,"Charlotte, NC",Ironpaper,None,30+ days ago,"We’re hiring a front-end developer to work in our NYC office. The developer should be well versed in CSS, HTML and Javascript, as well as mobile responsive web development. Must be skilled in writing clean, efficient code.
Skills should include a strong sense of UX and experience with contemporary front-end development standards. Must be able to work full time in our Charlotte, NC office. Positions also available in New York City.

View Our Culture Code


More About the Position


Qualifications include:
Javascript
Responsive Web Development using Bootstrap
HTML5/CSS3 (duh!)
Wordpress would be great
MVC would be great
AngularJs or MeteorJs or ReactJs would be great
We're looking for a nice candidate with a keen ability to learn new things. Our ideal candidate must enjoy working in teams and helping integrate design with technology. We also require an ability to effectively communicate your work with both technical and non-technical peers.
The position is full-time in our Charlotte, NC office.",http://www.indeed.com/rc/clk?jk=ac131f21b10105e0&fccid=2e0f57128c753e91&vjs=3
javascript developer,"Charlotte, NC",SaaS Microsoft .NET Core / MVC / Javascript Developer,United States,"StatusCast, Inc.","$80,000 - $85,000 a year",23 days ago,"StatusCast, a leading Software-as-a-Service provider for creating and managing application and company status pages, is looking for a highly motivated software engineer to join our team. Founded in 2015 we are looking to hire our first round of non-founder employees. If you would love the opportunity to get in on the ground floor of a startup software company, this job is for you.
As the company’s primary developer, you will be responsible for implementing and managing the entire technology stack of our product. We are looking for someone who is incredibly results-driven and likes to see the code used by thousands of users every day. Given that we are a startup, we are also looking for someone who understands what it’s like to work in a fast-paced environment that can change often.
The ideal candidate will want to work in a high-risk / high-reward environment where long term benefits outweigh their short term financial goals. In other words, we are looking for a rockstar who could probably make more money in a traditional 9-5 job somewhere, but you would be miserable doing that. If you would rather set your own destiny, and invest in taking a chance on a larger long term return on that investment, StatusCast is for you.
Key responsibilities will include:
Experienced and fluent in Domain-Driven Design and the ability to implement those principals in a large .NET Core SaaS application.
C#
.NET Core 3.1
ASP.NET, MVC, Razor
EFCore, Authorization
Azure Services, Dependency Injection, API development
MUST BE ABLE TO design and develop GREAT LOOKING front ends and have a keen eye for User Experience. You should be just as good at building great looking front end apps as you are at building fast and reliable server services.
HTML, Bootstrap, JQuery
Develop and maintain our core product offering which includes back-end, web-based, and mobile applications.
Multi-tenant data modeling and implementation using MS SQL Server and Azure
Requirements:
Please only apply if you have direct, applicable experience using .NET Core and the Microsoft development stack. You will NOT be considered for this position unless you are a .NET wizard.
Bachelor’s degree
Demonstrated 4+ years of development experience with the technologies listed here.
Visual Studio and Visual Code development environments
Excellent communication and demonstration skills
Experience working in an entrepreneurial startup type environment
Exceptional time management skills and a commitment to accountability
THIS IS FULLY REMOTE WORK-FROM-HOME ﻿HOWEVER YOU MUST BE LOCATED IN THE UNITED STATES. Non-US Residents will not be considered
Benefits:
As an early employee of StatusCast, you will be getting in on the ground floor. Along with a competitive salary and healthcare benefits, the right candidate will be eligible for a generous options package. If your prime motivation to growing a software company is participating in the potential long term financial upside, this position is right for you.
Job Type: Full-time
Salary: Starting at $80,000.00/year but willing to provide a significant option plan along with a raise within six months commensurate with our success.
Job Type: Full-time
Pay: $80,000.00 - $85,000.00 per year
Benefits:
Dental Insurance
Health Insurance
Vision Insurance
Schedule:
Monday to Friday
Experience:
.NET, ASP.NET, Razor, C#, EntityFramework: 3 years (Required)
Javascript, HTML, CSS: 3 years (Required)
Language:
English (Required)
Work authorization:
United States (Required)
Additional Compensation:
Bonuses
Other forms
Work Location:
Fully Remote
Visa Sponsorship Potentially Available:
No: Not providing sponsorship for this job
Company's website:
https://statuscast.com
Work Remotely:
Yes",http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DkS7FhIITIunC03ynNlteDdlLl4RoZgMb1EnXxgCwS1HtmO2WYbyVc9FVs7hhugNpB6WqmMzi9kI1p5l2Udt3sCCWXZ6Bj1Vb2YyChYl2sOX8hpAoeheJAVlKb1lIh8Lg54O5f5a1VsR30oACFFhvwLzroRTedapXgPBV6sNPkFJkOlm3QLBLiyuNPdGlcwyoJvbikV0ua8IOxC-y6ZXtZQj_0tqbAfauIfbvdJ-jEKqx9qUd8IzE0dlXVjeq7LnbJR6Z6Slbc-Jdudv2Lg_1w1MnMA0vISblMUscUQWpx8P4g39BEzvHBEytfVDN6LdDQNSzfrzylkkdez_43nYMB-jpCJnFfCIOl19lY2NTNesImqoKlXIDcVisiIc_0R92MzrrcgXxIr5wnplwZA982mqq8Fz_dDujSBltFfVJTd7wBX9N6TwfXhdYArtiANJNTIVGtB0kdTJT-it7u3zsyYiS3MCP3HMgCzd2wIvJVoCtMKHUGDyO6lmgTjV-cQQ9VnEyc2-KbVg==&p=10&fvj=1&vjs=3
