,search_loc,search_terms,pos_counts_mkt,pos_pcts_mkt,pos_overall_mkt_pct
0,"Austin, TX",javascript developer,346,58.64,12.5
1,"Austin, TX",python developer,244,41.36,8.82
2,"Charlotte, NC",javascript developer,185,71.71,6.69
3,"Charlotte, NC",python developer,73,28.29,2.64
4,"New York, NY",javascript developer,362,55.86,13.08
5,"New York, NY",python developer,286,44.14,10.34
6,"San Francisco, CA",javascript developer,338,54.78,12.22
7,"San Francisco, CA",python developer,279,45.22,10.08
8,"Washington, DC",javascript developer,362,55.35,13.08
9,"Washington, DC",python developer,292,44.65,10.55
